"Serial Number",SKU,EAN,Description,"Sold Qty",Package,"Package Unit","Target Quantity","Main Unit",Category
1,Q0104P,Q0104P,"Q0104P Pingcon JRT 250m MG x1",158209,12,rolls,989.00,case,non_food
2,1405P,762112000000,"1405P Starbucks Whole bean House Blend 250g x1",,,,,pc,food
3,0340P,0340P,"0340P Jumbo Roll Tissue MG 200m individually wrap 80mm x1",100120,12,pc,626.00,case,non_food
4,KS004P,,"KS004P Interfolded Paper Towel Virgin Pulp 1 ply 175 pulls x1",192211,30,pc,481.00,case,non_food
5,2053P,4809013751802,"2053P Pingcon Rubbing Alcohol Isopropyl 70% Alcohol with Moisturizer Gallon (3.78Liters) x1",15545,4,pc,292.00,case,non_food
6,Y0316P,Y0316P,"Y0316P Bathroom Tissue,white, 3 ply, Soft Texture, 100% virgin pulp width of sheet: 10 11 cm, diameter of roll:10 12cm, minimum 200 sheet per roll, biodegradable x1",246720,48,pc,386.00,case,non_food
7,P2257P,4800580000000,"P2257P Cowbell Condensed Milk 374g x1",,,,,pc,food
8,MH62P,4801234107727,"MH62P Baygon Multi Insect Killer Odorless 500ml x1",8173,12,pc,52.00,case,non_food
9,Q0101P,Q0101P,"Q0101P Pingcon JRT 200m Premium MG x1",43620,12,pc,273.00,case,non_food
10,B23SS0257P,4805360000000,"B23SS0257P Magnolia Quezo De Bola 500g x1",,,,,pc,food
11,0192P,0192P,"0192P Paper Cups White 8oz x50",43700,20,pc,164.00,case,non_food
12,0955P,4800250000000,"0955P CDO Karne Norte 150g x1",,,,,pc,food
13,Z1015P,9556111408088,"Z1015P Lysol Disinfectant Spray Crisp Linen 510g x1",4617,12,pc,29.00,case,non_food
14,SS1402P,4800360000000,"SS1402P Nestle Coffeemate Creamer 400g x1",,,,,pc,food
15,P0422P,4808890000000,"P0422P Purefoods Jamon de Bola 1kg x1",,,,,pc,food
16,SS1561P,4800110000000,"SS1561P Royal Filipino Celebration 1.6kg (Pasta 700g + Spaghetti Sauce 900g) x1",,,,,pc,food
17,0896P,4800040000000,"0896P Fibisco Chocolate Chip Cookies 80g x1",,,,,pc,food
18,Y0300P,Y0300P,"Y0300P Bonita Suprema 300 Bathroom Tissue Roll 100% Virgin Pulp 2 ply x 150 300 sheets 100mm x 100mm x1",248500,48,pc,389.00,case,non_food
19,P0615P,41800716005,"P0615P Welch's Sparkling Red Wine 750mL x1",,,,,pc,food
20,0345P,0345P,"0345P Interleave Virgin Pulp 2ply x 200 pulls 400 sheets x1",97536,48,pc,153.00,case,non_food
21,0201P,4809010000000,"0201P Siete Baracos Coffee Blackgold 454g x1",,,,,pc,food
23,P0137P,748485000000,"P0137P Angel Kremdensada 410ml x1",,,,,pc,food
25,P1355P,4801980000000,"P1355P Coke Regular 1.5L x1",,,,,pc,food
26,P0819P,4800250000000,"CDO Beef Loaf 150g x1",,,,,pc,food
27,P2469P,4808890000000,"P2469P Purefoods Luncheon Meat 340g x1",,,,,pc,food
28,BC167P,BC167P,"BC167P Ziptie Garbage Bag Clear XL 30"" x 37"" x10",32920,20,pc,124.00,case,non_food
29,SS1237P,4801980000000,"SS1237P Coke Regular in can 320mL x1",,,,,pc,food
30,KS001P,,"KS001P Bathroom Tissue Roll Virgin Pulp 3 ply 450sheets x1",118752,48,pc,186.00,case,non_food
31,P2153P,P2153P,"P2153P Aromatic Solution Green Tea 500mL x1",,,,,pc,food
32,P0644P,8000500000000,"P0644P Ferrero Rocher Chocolate T24 300g x1",,,,,pc,food
33,2069P,2069P,"2069P Rubbing Alcohol 70% Ethyl Apple Blast Scent Gallon x1",2396,4,pc,45.00,case,non_food
34,SS1235P,4801670000000,"SS1235P UFC Swak'to Pack (Spaghetti Pasta 350g + Sweet Filipino with Parmesan Cheese Sauce 500g) x1",,,,,pc,food
35,P1335P,4806530000000,"P1335P HaoHao Chili sauce 500g",,,,,pc,food
36,2042P,2042P,"2042P Diswashing Liquid Cleaner Lime Gallon x1",7107,4,pc,134.00,case,non_food
37,1664P,1664P,"1664P Bonita Jumbo Roll Tissue Class A Virgin Pulp 2 ply 250 meters x1",12144,12,pc,76.00,case,non_food
38,2102P,4800047840067,"2102P Zonrox Bleach Original Scent gallon x1",7725,3,pc,194.00,case,non_food
39,SS1240P,4801980000000,"SS1240P Coke Zero in can 320mL x1",,,,,pc,food
40,MH01P,4801234056728,"MH01P Pledge Lemon 330mL x1",2996,24,pc,10.00,case,non_food
42,0344P,0344P,"0344P Bathroom Tissue Roll Mixed Grade 2-ply x 150 300 sheets 100mm x 100mm x1",132864,48,pc,208.00,case,non_food
43,P0319P,4800360000000,"P0319P Milo Active Refil 1kg x1",,,,,pc,food
45,MH28P,4801234107826,"MH28P Baygon Protector Multi Insect Killer Citrus Scent 500mL x1",2354,12,pc,15.00,case,non_food
46,SS1693P,4806510000000,"SS1693P Novellino Sparkling Red Grape Juice 750mL x1",,,,,pc,food
47,0348P,0348P,"0348P Unbranded Interfolded Paper Towel Virgin Pulp 175 pulls 30gsm x1",25080,30,pc,63.00,case,non_food
48,0494P,0494P,"0494P Ecobag Red Medium x1",,,,,pc,food
49,P0829P,4808890000000,"P0829P Purefoods Star Corned Beef 150g x1",,,,,pc,food
50,SS1682P,748485000000,"SS1682P Angel All Purpose Creamer 250mL x1",,,,,pc,food
51,SS1372P,4800020000000,"SS1372P Del Monte Four Season Sweetened Juice 220mL x1",,,,,pc,food
52,SS1375P,4800020000000,"SS1375P Del Monte Pineapple Juice 220mL x1",,,,,pc,food
53,Z1018P,9556111408279,"Z1018P Lysol D. Spray Early Morning Breeze 510g x1",1426,12,pc,9.00,case,non_food
54,SS1239P,4801980000000,"SS1239P Sprite in can 320mL x1",,,,,pc,food
55,0200P,4809010000000,"0200P Siete Baracos Coffee All Purpose Grind 454g x1",,,,,pc,food
56,08105P,4809013751574,"08105P Garbage Bag XXL Black 37 x 40 x .001 x1",154600,100,pc,116.00,case,non_food
57,SS1319P,4805360000000,"SS1319P Magnolia Daily Quezo 160g x1",,,,,pc,food
58,Q0108P,Q0108P,"Q0108P Hand Roll Tissue VP 200m x1",4837,12,pc,31.00,case,non_food
60,SS1373P,4800020000000,"SS1373P Del Monte Mango Sweetened Juice 220mL x1",,,,,pc,food
61,0922P,4800020000000,"0922P Del Monte Fiesta Fruit Cocktail 432g x1",,,,,pc,food
