SKU,Description,Unit,Week 1 Qty,Week 2 Qty,Week 3 Qty,Week 4 Qty,Total Qty
0153C,Saver Paper Plates 25's x 20,packs,0,0,0,200,200
0166P,"Wooden Coffee Stirrer 4.75"" 1000",packs,0,0,0,600,600
0186P,"Paper Cups White 6.5oz 1,000pcs/case",case,0,110,0,0,110
0192P,"Paper Cups White 8oz 1,000pcs/case",case,0,3488,0,0,3488
0200P,Siete Baracos Coffee All Purpose Grind 454g x1,pcs,60,0,0,0,60
0201P,Siete Baracos Coffee Blackgold 454g x 30,case,529,0,0,0,529
0458P,Good Morning Towel,pcs,60,0,0,0,60
04874P,Indoplas Facemask 3ply x50,pcs,0,0,0,150,150
0502C,Coke Lite can 330mL x 24,CASE,0,0,20,0,20
0531C,Coke Zero can 330mL x 24,CASE,0,0,15,0,15
0558C,Joy Dishwash Liquid Lemon 250mL x 20,Case,0,2,0,0,2
0589C,Joy Dishwashing Liquid Lemon Refill 200mL x 40,Case,0,1,0,0,1
0596C,All Purpose Detergent Powder 1 Kilo by 30 NO LABEL,case,0,0,3,0,3
0599C,Tide Detergent Powder Original Scent 950g x 12,case,0,0,10,0,10
0644P,Nestle Coffeemate 450g x1,pcs,0,0,0,720,720
08102C,Garbage Bag Black 18' x 18' x .001 Small x 100,case,80,0,0,0,80
08102P,Garbage Bag Black 18' x 18' x .001 Small x 100,case,100,0,0,0,100
08103P,Garbage Bag Medium Black 22' x 24' x .001 100 pcs/case,case,933,0,0,0,933
08104P,Garbage Bag Large Black 26' x 32' x .001 100 pcs/case,case,1300,0,0,0,1300
08105P,Garbage Bag XXL Black 37' x 40' x .001 100 pcs/case,case,550,0,0,0,550
08107P,"Garbage Bag Medium Clear 22"" x 24"" x .001 x100",case,200,0,0,0,200
08108P,"Garbage Bag Large Clear 26"" x 32"" x .001 x100",case,50,0,0,0,50
08111C,Garbage Bag Black 30' x 37' x 001 XL x 100,case,600,0,0,0,600
08111P,Garbage Bag Black 30' x 37' x 001 XL x 100,case,700,0,0,0,700
08112C,"Garbage Bag XXL Yellow 37"" x 40"" x .001 100 pcs per case",cases,10,0,0,0,10
08119P,"Garbage Bag Medium Yellow 22"" x 24"" x .001 x1",case,10,0,0,0,10
08120C,"Garbage Bag Large Yellow 26"" x 32"" x .001 100's",case,0,30,0,0,30
08121P,"Garbage Bag Medium Green 22"" x 24"" x .001 x1",case,10,0,0,0,10
08160P,"Garbage Bag Green XL 30"" x 37"" .001 x1",case,10,0,0,0,10
08503C,Hermano Refined Sugar 1kg x 50,case,20,0,0,0,20
08504P,Hermano Washed Sugar 1kg x 50,Case,0,0,4,0,4
10005C,Axion Dishwashing Liquid Lemon 250mL x 20,case,0,2,0,0,2
10006C,Axion Dishwashing Paste Lemon 190g x 48,case,0,5,0,0,5
10301C,Hand Sanitizer70% Ethyl Alcohol Cool Water Scent Colorless 4gallons/case,case,0,22,0,0,22
1034P,Ambi Pur Air Freshener LV & C 275g x 6,pcs,210,0,0,90,300
1053C,Downy Fabric Conditioner Antibac 4L(1gallon) x 3,CASE,0,0,0,7,7
